instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
Academy of Hair Technology,Academy of Hair Technology,3715 E North St Ste F,Greenville,-82.327426,34.874681,44,11014,,,,,,,,,10,
Academy of Interactive Entertainment,Academy of Interactive Entertainment,537 Cajundome Boulevard #211,Lafayette,-92.043315,30.220037,84,23807,126,63,,,,,,,19,
Academy of Interactive Entertainment,Academy of Interactive Entertainment,305 Harrison St Ste 405,Seattle,-122.351158,47.621224,55,25556,85,75,,,,,,,22,
Academy of Massage and Bodywork,Academy of Massage and Bodywork,1218 Pulaski Hwy Ste 324,Bear,-75.666786,39.628779,44,,,,,,,,,,7,
Academy of Natural Therapy Inc,Academy of Natural Therapy Inc,625 8th Ave,Greeley,-104.691075,40.426259,85,,,,,,,,,,10,
Academy of Professional Cosmetology,Academy of Professional Cosmetology,2600 West Hudson Road Suite A,Rogers,-94.157411,36.355410,44,8357,,,,,,,,,18,
Academy of Salon and Spa,Academy of Salon and Spa,311 S 16th St,Fort Smith,-94.416160,35.380970,75,12536,,,,,,,,,27,
Academy of Salon Professionals,Academy of Salon Professionals,2414 S. Limit Ave,Sedalia,-93.251559,38.690729,63,9212,,,,,,,,,11,
Academy of Vocal Arts,Academy of Vocal Arts,1920 Spruce St,Philadelphia,-75.173735,39.947960,,,,,,,,,,,,
Acaydia School of Aesthetics,Acaydia School of Aesthetics,86 North University Avenue  Suite 130,Provo,-111.658230,40.234627,49,15813,,,,,,,,,10,
Access Careers,Access Careers,474 Fulton Avenue  Suite 201,Hempstead,-73.615310,40.709502,13,1903,,,,,,,,,13,
Ace Cosmetology and Barber Training Center,Ace Cosmetology and Barber Training Center,625 Wolcott Street  Suite 7,Waterbury,-72.987416,41.593956,19,17274,,,,,,,,,15,
Ace Institute of Technology,Ace Institute of Technology,312 West 36 Street  2nd Floor,New York,-73.993385,40.753658,61,29214,,,,,,,,,11,
Acupuncture and Integrative Medicine College-Berkeley,Acupuncture and Integrative Medicine College-Berkeley,2550 Shattuck Avenue,Berkeley,-122.267636,37.862754,,,,,,,,,,,,
Acupuncture and Massage College,Acupuncture and Massage College,10506 N Kendall Drive,Miami,-80.364141,25.686382,65,30791,,,,,,,,,16,
Adams State University,Adams State University,208 Edgemont Blvd,Alamosa,-105.879642,37.473636,75,,1698,1675,440,550,430,530,17,22,12,
Adelphi University,Adelphi University,South Ave,Garden City,-73.653321,40.721439,87,28406,13006,9648,540,630,540,640,22,27,12,
