instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
Aveda Institute-San Antonio,Aveda Institute-San Antonio,21003 Encino Commons Ste 121,San Antonio,-98.452126,29.637354,47,11850,,,,,,,,,15,
Aveda Institute-South Florida,Aveda Institute-South Florida,4186 S. University Drive,Davie,-80.251766,26.070447,45,17814,,,,,,,,,20,
Aveda Institute-Tallahassee,Aveda Institute-Tallahassee,2020 W. Pensacola St.,Tallahassee,-84.317892,30.442037,50,14550,,,,,,,,,20,
Aveda Institute-Tucson,Aveda Institute-Tucson,845 North Park Avenue,Tucson,-110.957057,32.232639,37,14087,,,,,,,,,17,
Aveda Institute-Twin Falls,Aveda Institute-Twin Falls,837 Pole Line Road Suite 103,Twin Falls,-114.461545,42.593567,73,12576,,,,,,,,,10,
Avenue Academy  A Cosmetology Institute,Avenue Academy  A Cosmetology Institute,6600 Menaul Boulevard Northeast Suite M002,Albuquerque,-106.570491,35.107227,53,13594,,,,,,,,,10,
Avenue Five Institute,Avenue Five Institute,8620 Burnet Rd Ste 300,Austin,-97.728961,30.369503,43,17556,,,,,,,,,13,
Avera McKennan Hospital School of Radiologic Technology,Avera McKennan Hospital School of Radiologic Technology,1325 South Cliff Avenue,Sioux Falls,-96.715584,43.533972,0,,,,,,,,,,11,
Avera Sacred Heart Hospital,Avera Sacred Heart Hospital,501 Summit,Yankton,-97.407865,42.872359,25,,,,,,,,,,10,
Averett University,Averett University,420 W Main St,Danville,-79.413203,36.577287,97,23978,2833,1717,440,490,450,490,16,22,12,
Averett University-Non-Traditional Programs,Averett University-Non-Traditional Programs,420 W Main St,Danville,-79.413203,36.577287,40,,18,6,,,,,,,5,
Avery James School of Cosmetology,Avery James School of Cosmetology,2948 Ryan Street,Lake Charles,-93.219712,30.202601,82,16877,,,,,,,,,9,
Avi Career Training,Avi Career Training,10130-B Colvin Run Rd,Great Falls,-77.296823,38.974295,33,15685,,,,,,,,,7,
Aviation Institute of Maintenance,Aviation Institute of Maintenance,420 Whitney Place,Freemont,-121.921350,37.468594,73,19652,,,,,,,,,13,
Aviation Institute of Maintenance-Atlanta,Aviation Institute of Maintenance-Atlanta,2025 Satellite Pointe,Duluth,-84.147864,33.948914,66,19499,,,,,,,,,13,
Aviation Institute of Maintenance-Chesapeake,Aviation Institute of Maintenance-Chesapeake,2211 S Military Hwy,Chesapeake,-76.268688,36.778525,57,23004,,,,,,,,,14,
Aviation Institute of Maintenance-Dallas,Aviation Institute of Maintenance-Dallas,400 E Airport Freeway,Irving,-96.941822,32.836068,51,21126,,,,,,,,,16,
Aviation Institute of Maintenance-Houston,Aviation Institute of Maintenance-Houston,7651 Airport Blvd.,Houston,-95.282620,29.658520,67,17945,,,,,,,,,14,
Aviation Institute of Maintenance-Indianapolis,Aviation Institute of Maintenance-Indianapolis,7251 W McCarty St,Indianapolis,-86.288273,39.753062,61,25843,,,,,,,,,10,
Aviation Institute of Maintenance-Kansas City,Aviation Institute of Maintenance-Kansas City,4100 Raytown Road,Kansas City,-94.498289,39.049869,65,23119,,,,,,,,,9,
Aviation Institute of Maintenance-Las Vegas,Aviation Institute of Maintenance-Las Vegas,5870 S Eastern Ave,Las Vegas,-115.118122,36.083117,59,21584,,,,,,,,,17,
Aviation Institute of Maintenance-Manassas,Aviation Institute of Maintenance-Manassas,10640 Davidson Place,Manassas,-77.514594,38.794493,43,23480,,,,,,,,,13,
Aviation Institute of Maintenance-Orlando,Aviation Institute of Maintenance-Orlando,2725 South US Highway 17/92,Casselberry,-81.334196,28.680653,71,21496,,,,,,,,,16,
Aviation Institute of Maintenance-Philadelphia,Aviation Institute of Maintenance-Philadelphia,3001 Grant Avenue,Philadelphia,-75.007237,40.070184,65,20581,,,,,,,,,11,
Aviator College of Aeronautical Science and Technology,Aviator College of Aeronautical Science and Technology,3800 St Lucie Blvd,Fort Pierce,-80.367303,27.487180,6,91706,,,,,,,,,5,
Avila University,Avila University,11901 Wornall Rd,Kansas City,-94.591758,38.913390,80,18607,2623,1431,480,570,510,540,19,23,12,
AVTEC-Alaska's Institute of Technology,AVTEC-Alaska's Institute of Technology,809 Second Avenue,Seward,-149.444487,60.110626,15,,,,,,,,,,15,
Award Beauty School,Award Beauty School,26 E Antietam St,Hagerstown,-77.720283,39.640443,67,15925,,,,,,,,,20,
Ayers Career College,Ayers Career College,8820 Jewella Ave,Shreveport,-93.798229,32.418291,65,21660,,,,,,,,,9,
Azusa Pacific University,Azusa Pacific University,901 E Alosta,Azusa,-117.888375,34.130047,90,29152,9832,6736,520,620,500,620,21,27,11,
B M Spurr School of Practical Nursing,B M Spurr School of Practical Nursing,800 Wheeling Ave,Glen Dale,-80.752394,39.946126,26,1706,23,7,,,,,,,12,
B-Unique Beauty and Barber Academy,B-Unique Beauty and Barber Academy,10 Liberty Lane,Greenville,-82.365104,34.844106,26,8995,,,,,,,,,9,
Babson College,Babson College,231 Forest Street,Babson Park,-71.264057,42.297017,46,29587,6383,1558,620,690,650,760,28,32,14,
Bacone College,Bacone College,2299 Old Bacone Rd,Muskogee,-95.334046,35.777082,94,21444,761,116,425,450,395,445,14,19,7,
Bainbridge State College,Bainbridge State College,2500 E Shotwell St,Bainbridge,-84.535049,30.899474,,,,,,,,,,,,
Bais Binyomin Academy,Bais Binyomin Academy,51 Carlton Road,Monsey,-74.081172,41.123098,93,18948,22,18,,,,,,,7,
Bais HaMedrash and Mesivta of Baltimore,Bais HaMedrash and Mesivta of Baltimore,6823 Old Pimlico Road,Baltimore,-76.674414,39.379528,78,7972,22,22,,,,,,,11,
Bais Medrash Elyon,Bais Medrash Elyon,73 Main Street,Monsey,-74.069798,41.114079,97,4000,5,4,,,,,,,21,
Bais Medrash Mayan Hatorah,Bais Medrash Mayan Hatorah,101 Milton Street,Lakewood,-74.204332,40.107414,77,11148,34,22,,,,,,,10,
Bais Medrash Toras Chesed,Bais Medrash Toras Chesed,901 Monmouth Ave,Lakewood,-74.211270,40.099704,80,6873,57,34,,,,,,,16,
Baker College,Baker College,1050 West Bristol Road,Flint,-83.694679,42.974764,78,12877,1206,640,,,,,,,8,
Baker University,Baker University,618 Eighth Street,Baldwin City,-95.188231,38.777278,48,23016,810,710,445,585,485,590,20,25,9,
Bakersfield College,Bakersfield College,1801 Panorama Dr,Bakersfield,-118.973753,35.409110,62,,,,,,,,,,30,
Bakke Graduate University,Bakke Graduate University,8515 Greenville Ave S206,Dallas,-96.753976,32.894605,,,,,,,,,,,,
Baldwin Beauty School-North Austin,Baldwin Beauty School-North Austin,8440 Burnet Rd.  Ste 140,Austin,-97.729371,30.365855,48,12421,,,,,,,,,15,
Baldwin Beauty School-South Austin,Baldwin Beauty School-South Austin,3005 S Lamar,Austin,-97.783062,30.241662,50,11329,,,,,,,,,15,
Baldwin Park Adult & Community Education,Baldwin Park Adult & Community Education,4640 N. Maine Ave,Baldwin Park,-117.959486,34.096730,48,,,,,,,,,,24,
Baldwin Wallace University,Baldwin Wallace University,275 Eastland Rd,Berea,-81.851145,41.373017,91,23526,3926,2915,520,640,510,610,21,27,11,
Baldy View Regional Occupational Program,Baldy View Regional Occupational Program,1501 Bon View Avenue,Ontario,-117.636712,34.046457,38,,,,,,,,,,13,
Ball State University,Ball State University,2000 University Ave,Muncie,-85.409043,40.203431,69,,23988,15539,,,,,,,16,
Baltimore City Community College,Baltimore City Community College,2901 Liberty Heights Avenue,Baltimore,-76.662878,39.319978,53,,,,,,,,,,17,
Baltimore Studio of Hair Design,Baltimore Studio of Hair Design,318 N Howard St,Baltimore,-76.620008,39.293371,96,15368,,,,,,,,,25,
Bancroft School of Massage Therapy,Bancroft School of Massage Therapy,333 Shrewsbury St,Worcester,-71.778113,42.268973,27,,,,,,,,,,7,
Bank Street College of Education,Bank Street College of Education,610 W 112 St,New York,-73.966643,40.805604,,,,,,,,,,,,
Baptist Bible College,Baptist Bible College,628 E Kearney,Springfield,-93.284286,37.239696,92,21241,,,,,,,,,12,
Baptist Health College Little Rock,Baptist Health College Little Rock,11900 COLONEL GLENN RD STE 1000,Little Rock,-92.406920,34.713115,87,20593,6,4,,,,,18,20,10,
Baptist Health System School of Health Professions,Baptist Health System School of Health Professions,8400 Datapoint Dr,San Antonio,-98.567486,29.517063,61,,,,,,,,,,12,
Baptist Memorial College of Health Sciences,Baptist Memorial College of Health Sciences,1003 Monroe Ave,Memphis,-90.027501,35.138415,79,11068,462,272,,,,,19,24,10,
Baptist Missionary Association Theological Seminary,Baptist Missionary Association Theological Seminary,1530 E Pine St,Jacksonville,-95.255524,31.978961,61,,4,3,,,,,,,4,
Baptist Theological Seminary at Richmond,Baptist Theological Seminary at Richmond,8040 Villa Park Drive,Henrico,-77.468483,37.632354,,,,,,,,,,,,
Baptist University of the Americas,Baptist University of the Americas,7838 Barlite Blvd.,San Antonio,-98.546081,29.349980,90,10039,,,,,,,,,10,
Barber & Beauty Institute of New York,Barber & Beauty Institute of New York,266 Greenwich Street,Hempstead,-73.615341,40.699830,57,11107,,,,,,,,,3,
Barber Institute of Texas,Barber Institute of Texas,2430 South High Street Ste B4,Longview,-94.732635,32.462970,87,14252,,,,,,,,,15,
Barber School of Pittsburgh,Barber School of Pittsburgh,143 Steuben St,Pittsburgh,-80.034160,40.441863,55,16390,,,,,,,,,13,
Barber Tech Academy,Barber Tech Academy,1521 Russell Street,Orangeburg,-80.859841,33.491780,71,14751,,,,,,,,,11,
Barclay College,Barclay College,607 N Kingman,Haviland,-99.105351,37.620120,84,22484,166,76,,,,,,,10,
Bard College,Bard College,Annandale Road,Annandale-On-Hudson,-73.909927,42.020386,67,26475,5141,3319,,,,,,,9,
Bard College - BHSEC Newark,Bard College - BHSEC Newark,321 Bergen Street,Newark,-74.195116,40.734728,,,,,,,,,,,,
Bard College - Brooklyn Public Library,Bard College - Brooklyn Public Library,10 Grand Army Plaza,Brooklyn,-73.968255,40.672444,,,,,,,,,,,,
Bard College - Coxsackie Correctional Facility,Bard College - Coxsackie Correctional Facility,11260 Route 9W,Coxsackie,-73.836821,42.343651,,,,,,,,,,,,
Bard College - Eastern NY Correctional Facility,Bard College - Eastern NY Correctional Facility,30 Institution Road,Napanoch,-74.363102,41.741299,,,,,,,,,,,,
Bard College - Fishkill Correctional Facility,Bard College - Fishkill Correctional Facility,18 Strack Drive,Beacon,-73.950868,41.522043,,,,,,,,,,,,
Bard College - Green Haven Correctional Facility,Bard College - Green Haven Correctional Facility,594 Route 216,Stormville,-73.716978,41.580924,,,,,,,,,,,,
Bard College - MAT Program CA,Bard College - MAT Program CA,Immanuel Presbyterian Church 3300 Wilshire Boulevard,Los Angeles,-118.294489,34.061437,,,,,,,,,,,,
Bard College - Taconic Correctional Facility,Bard College - Taconic Correctional Facility,250 Harris Road,Bedford Hill,-73.678685,41.244244,,,,,,,,,,,,
Bard College - Woodbourne Correctional Facility,Bard College - Woodbourne Correctional Facility,99 Prison Road,Woodbourne,-74.592771,41.754051,,,,,,,,,,,,
Bard College at Simon's Rock,Bard College at Simon's Rock,84 Alford Road,Great Barrington,-73.379201,42.208803,96,40985,281,227,,,,,,,6,
Barnard College,Barnard College,3009 Broadway,New York,-73.963346,40.810098,44,26681,7897,1099,670,740,660,760,30,33,9,
Barnes-Jewish College Goldfarb School of Nursing,Barnes-Jewish College Goldfarb School of Nursing,4483 Duncan Avenue  Mailstop 90-36-697,Saint Louis,-90.258772,38.637165,36,,,,,,,,,,9,
Barrett and Company School of Hair Design,Barrett and Company School of Hair Design,973 Kimberly Sq South Main St. Kimberly Square,Nicholasville,-84.580326,37.866361,57,12071,,,,,,,,,12,
Barry University,Barry University,11300 NE 2nd Ave,Miami,-80.198925,25.878908,81,19293,5255,4795,480,560,430,520,17,22,12,
Barstow Community College,Barstow Community College,2700 Barstow Road,Barstow,-117.023412,34.870285,80,,,,,,,,,,25,
Barton College,Barton College,200 E. ACC Drive,Wilson,-77.913867,35.734376,98,22792,3486,1381,470,570,450,550,17,23,11,
Barton County Community College,Barton County Community College,245 NE 30th Road,Great Bend,-98.731648,38.403529,38,,,,,,,,,,17,
Bastyr University,Bastyr University,14500 Juanita Drive NE,Kenmore,-122.251708,47.729935,69,,,,,,,,,,12,
Bates College,Bates College,2 Andrews Road,Lewiston,-70.203333,44.105299,44,25113,7685,1367,,,,,,,10,
Bates Technical College,Bates Technical College,1101 S Yakima Ave,Tacoma,-122.446830,47.251743,20,,,,,,,,,,21,
Baton Rouge Community College,Baton Rouge Community College,201 Community College Drive,Baton Rouge,-91.137935,30.448276,63,,,,,,,,,,29,
Baton Rouge General Medical Center-School of Nursing,Baton Rouge General Medical Center-School of Nursing,3616 North Blvd,Baton Rouge,-91.153084,30.449088,59,,,,,,,,,,10,
Baton Rouge School of Computers,Baton Rouge School of Computers,9352 Interline Ave,Baton Rouge,-91.080837,30.422155,62,13539,,,,,,,,,10,
Bay Area Medical Academy,Bay Area Medical Academy,530 Bush Street #201,San Francisco,-122.406318,37.790775,25,23403,,,,,,,,,20,
Bay Atlantic University,Bay Atlantic University,1510 H Street NW,Washington,-77.034600,38.900000,,,,,,,,,,,,
Bay de Noc Community College,Bay de Noc Community College,2001 N Lincoln Road,Escanaba,-87.085228,45.772586,49,,,,,,,,,,16,
Bay Mills Community College,Bay Mills Community College,12214 W Lakeshore Dr,Brimley,-84.607089,46.454584,68,,,,,,,,,,14,
Bay Path University,Bay Path University,588 Longmeadow Street,Longmeadow,-72.583382,42.055088,70,21100,1513,914,,,,,,,12,
Bay State College,Bay State College,122 Commonwealth Avenue,Boston,-71.076991,42.351760,74,32761,179,124,,,,,,,12,
Bay State School of Technology,Bay State School of Technology,225 Turnpike St,Canton,-71.114231,42.179506,44,23301,,,,,,,,,15,
Bayamon Community College,Bayamon Community College,17 Maceo St,Bayamon,-66.155908,18.398313,88,4862,,,,,,,,,8,
Baylor College of Medicine,Baylor College of Medicine,One Baylor Plaza,Houston,-95.395743,29.710600,,,,,,,,,,,,
Baylor University,Baylor University, ,Waco,-97.121041,31.546872,91,35158,37083,14442,600,680,590,690,26,31,14,
Bayshire Academy of Beauty Craft Inc,Bayshire Academy of Beauty Craft Inc,917 Saginaw St,Bay City,-83.888950,43.599758,64,4575,,,,,,,,,12,
Be'er Yaakov Talmudic Seminary,Be'er Yaakov Talmudic Seminary,12 Jefferson Avenue,Spring Valley,-74.028425,41.139050,95,1742,,,,,,,,,16,
Beacon College,Beacon College,105 E Main St,Leesburg,-81.874150,28.811281,90,37337,266,135,,,,,,,11,
Beal College,Beal College,99 Farm Road,Bangor,-68.785428,44.786465,62,14152,,,,,,,,,15,
Beau Monde College of Hair Design,Beau Monde College of Hair Design,2201 Lloyd Center Suite C304,Portland,-122.653583,45.532356,,,,,,,,,,,,
Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,2201 Lloyd Center Suite C304,Portland,-122.654560,45.531839,45,15388,,,,,,,,,18,
Beaufort County Community College,Beaufort County Community College,5337 US Highway 264 East,Washington,-76.965350,35.533587,35,,,,,,,,,,10,
Beaumont Adult School,Beaumont Adult School,1575 Cherry Ave,Beaumont,-116.964728,33.951365,75,,,,,,,,,,15,
Beauty Academy of South Florida,Beauty Academy of South Florida,9800 NW 77 Avenue,Hialeah Gardens,-80.323571,25.862890,76,26385,,,,,,,,,19,
Beauty Anatomy Institute of Cosmetology and Wellness,Beauty Anatomy Institute of Cosmetology and Wellness,1901 North Federal Highway #201,Pompano Beach,-80.101821,26.256460,60,18023,,,,,,,,,10,
Beauty School of Middletown,Beauty School of Middletown,225 Dolson Ave,Middletown,-74.428046,41.424621,56,16826,,,,,,,,,7,
Beauty Schools of America,Beauty Schools of America,1011 5th Street,Miami Beach,-80.138551,25.774830,76,23323,,,,,,,,,7,
Beauty Schools of America-Hialeah,Beauty Schools of America-Hialeah,1060 W 49th Street,Hialeah,-80.303784,25.865702,63,23877,,,,,,,,,12,
Beauty Schools of America-Homestead,Beauty Schools of America-Homestead,600 NE 22 Terrace  #108,Homestead,-80.446293,25.475883,96,25013,,,,,,,,,13,
Beauty Schools of America-Miami,Beauty Schools of America-Miami,1176 SW 67th Avenue,Miami,-80.304459,25.759918,72,23341,,,,,,,,,7,
Beauty Schools of America-North Miami Beach,Beauty Schools of America-North Miami Beach,1813 NE 163rd Street,North Miami Beach,-80.163498,25.926243,81,24509,,,,,,,,,8,
Beauty Technical College Inc,Beauty Technical College Inc,605  E. Downing Street,Tahlequah,-94.962015,35.915551,55,5916,,,,,,,,,12,
Beaver Falls Beauty Academy,Beaver Falls Beauty Academy,720 13th St,Beaver Falls,-80.320347,40.754161,95,14659,,,,,,,,,9,
Becker College,Becker College,61 Sever St,Worcester,-71.811894,42.269171,91,33266,3916,2598,490,600,490,580,20,25,16,
Beckfield College-Florence,Beckfield College-Florence,16 Spiral Drive,Florence,-84.641475,39.017166,79,19454,,,,,,,,,12,
Beis Medrash Heichal Dovid,Beis Medrash Heichal Dovid,211 Beach Seventeenth Street,Far Rockaway,-73.751633,40.596845,52,11250,55,42,,,,,,,20,
Bel-Rea Institute of Animal Technology,Bel-Rea Institute of Animal Technology,1681 S Dayton St,Denver,-104.876207,39.686194,54,17952,265,64,,,,,,,24,
Belanger School of Nursing,Belanger School of Nursing,650 McClellan St,Schenectady,-73.915884,42.802979,74,,2,0,,,,,,,3,
Belhaven University,Belhaven University,1500 Peachtree St,Jackson,-90.169228,32.318415,73,18734,1961,1012,,,,,,,10,
Bell Mar Beauty College,Bell Mar Beauty College,5717  W. Cermak Road,Cicero,-87.767244,41.850656,94,6706,,,,,,,,,15,
Bella Academy of Cosmetology,Bella Academy of Cosmetology,338 Pearl Avenue,Oshkosh,-88.542233,44.018434,62,9430,,,,,,,,,10,
Bella Capelli Academy,Bella Capelli Academy,151 Wyngate Drive,Monroeville,-79.781672,40.432494,49,16004,,,,,,,,,17,
Bella Cosmetology College,Bella Cosmetology College,410 West Broadway St.,Winnsboro,-95.294921,32.958960,73,14773,,,,,,,,,19,
Bellarmine University,Bellarmine University,2001 Newburg Rd,Louisville,-85.704997,38.219279,94,23607,5535,4751,540,640,520,630,22,28,11,
Belle Academy of Cosmetology,Belle Academy of Cosmetology,27A South Commons Road,Waterbury,-73.055819,41.597490,100,15644,,,,,,,,,15,
Bellevue College,Bellevue College,3000 Landerholm Cir SE,Bellevue,-122.150118,47.584014,17,,,,,,,,,,15,
Bellevue University,Bellevue University,1000 Galvin Rd S,Bellevue,-95.917640,41.150225,32,9635,,,,,,,,,27,
Bellin College,Bellin College,3201 Eaton Road,Green Bay,-87.921722,44.468277,87,27899,59,52,,,,,22,25,13,
Bellingham Technical College,Bellingham Technical College,3028 Lindbergh Ave,Bellingham,-122.512160,48.766189,57,,,,,,,,,,18,
Bellus Academy,Bellus Academy,1130 Westloop Place,Manhattan,-96.608270,39.191749,65,18234,,,,,,,,,17,
Bellus Academy-Chula Vista,Bellus Academy-Chula Vista,970 Broadway,Chula Vista,-117.083738,32.614773,82,24243,,,,,,,,,16,
Bellus Academy-El Cajon,Bellus Academy-El Cajon,1073 E Main St,El Cajon,-116.946270,32.794072,70,30555,,,,,,,,,14,
Bellus Academy-Poway,Bellus Academy-Poway,13266 Poway Rd,Poway,-117.042531,32.957184,63,19547,,,,,,,,,16,
Belmont Abbey College,Belmont Abbey College,100 Belmont-Mt Holly Road,Belmont,-81.041315,35.260651,90,22731,2107,1681,480,600,470,580,19,24,17,
Belmont College,Belmont College,68094 Hammond Road,St Clairsville,-80.964901,40.076950,55,,,,,,,,,,12,
Belmont University,Belmont University,1900 Belmont Blvd,Nashville,-86.794807,36.135589,73,36694,8210,6771,580,660,540,640,24,29,14,
Beloit College,Beloit College,700 College St,Beloit,-89.029285,42.504022,97,25980,4200,2369,570,670,550,690,21,29,10,
Bemidji State University,Bemidji State University,1500 Birchmont Dr,Bemidji,-94.874119,47.482341,58,,4017,2678,,,,,19,24,21,
Ben Franklin Career Center,Ben Franklin Career Center,500 28th St,Dunbar,-81.753530,38.367234,77,,,,,,,,,,9,
Bene's Career Academy,Bene's Career Academy,7027 US Hwy 19,New Port Richey,-82.728584,28.259612,81,20839,,,,,,,,,8,
Benedict College,Benedict College,1600 Harden Street,Columbia,-81.020403,34.012941,93,23001,,,,,,,,,17,
Benedictine College,Benedictine College,1020 N 2nd St,Atchison,-95.111473,39.572646,90,24461,2444,2269,530,650,520,630,21,28,13,
Benedictine University,Benedictine University,5700 College Rd,Lisle,-88.097307,41.777569,85,25508,5502,3457,490,598,490,590,20,25,15,
Benjamin Franklin Institute of Technology,Benjamin Franklin Institute of Technology,41 Berkeley St,Boston,-71.070231,42.346023,85,14215,,,,,,,,,10,
Bennett Career Institute,Bennett Career Institute,700 Monroe Street N.E.,Washington,-76.995965,38.932640,86,9617,,,,,,,,,20,
Bennett College,Bennett College,900 E Washington St,Greensboro,-79.779980,36.067531,81,18392,3938,3794,410,520,390,480,14,20,11,
Bennington College,Bennington College,One College Drive,Bennington,-73.237799,42.919547,90,34227,1494,852,,,,,,,9,
Bentley University,Bentley University,175 Forest St,Waltham,-71.222839,42.385995,66,38270,9252,3998,600,680,640,730,28,32,11,
Berea College,Berea College,101 Chestnut Street,Berea,-84.292893,37.572020,100,1196,1576,602,520,590,510,623,22,27,10,
Bergen Community College,Bergen Community College,400 Paramus Rd,Paramus,-74.088804,40.951782,34,,,,,,,,,,19,
Bergin University of Canine Studies,Bergin University of Canine Studies,5701 Old Redwood Hwy,Penngrove,-122.681639,38.303233,39,,,,,,,,,,6,
Berk Trade and Business School,Berk Trade and Business School,33-09 Queens Boulevard,Long Island City,-73.930982,40.745021,75,15494,,,,,,,,,14,
Berkeley City College,Berkeley City College,2050 Center Sreet,Berkeley,-122.269877,37.869769,46,,,,,,,,,,31,
Berkeley College-New York,Berkeley College-New York,3 East 43 Street,New York,-73.979458,40.753986,92,20513,,,,,,,,,22,
Berkeley College-Woodland Park,Berkeley College-Woodland Park,44 Rifle Camp Rd,Woodland Park,-74.189483,40.898587,95,15952,,,,,,,,,15,
Berklee College of Music,Berklee College of Music,1140 Boylston St,Boston,-71.089405,42.346646,55,43799,6820,3249,,,,,,,10,
Berkowits School of Electrolysis,Berkowits School of Electrolysis,107-25 Metropolitan Avenue,Forest Hills,-73.845213,40.709736,0,,,,,,,,,,15,
Berks Career & Technology Center,Berks Career & Technology Center,1057 County Road,Leesport,-76.000808,40.388341,67,,,,,,,,,,2,
Berkshire Community College,Berkshire Community College,1350 West Street,Pittsfield,-73.314704,42.459750,69,,,,,,,,,,10,
Berry College,Berry College,2277 Martha Berry Hwy NW,Mount Berry,-85.189202,34.290414,99,24917,3970,2625,570,660,540,650,23,29,11,
Best Care College,Best Care College,68 South Harrison,East Orange,-74.221116,40.765332,27,,,,,,,,,,40,
Bet Medrash Gadol Ateret Torah,Bet Medrash Gadol Ateret Torah,1750 East Fourth Street,Brooklyn,-73.969945,40.607809,98,5205,33,30,,,,,,,9,
Beth Hamedrash Shaarei Yosher Institute,Beth Hamedrash Shaarei Yosher Institute,4102 16th Ave,Brooklyn,-73.981202,40.635444,76,4814,33,26,,,,,,,14,
Beth Hatalmud Rabbinical College,Beth Hatalmud Rabbinical College,2127 82nd St,Brooklyn,-73.992684,40.605256,100,5700,0,,,,,,,,3,
Beth Medrash Govoha,Beth Medrash Govoha,617 6th St,Lakewood,-74.222100,40.095680,100,,,,,,,,,,18,
Beth Medrash Meor Yitzchok,Beth Medrash Meor Yitzchok,85 Dykstras Way East,Monsey,-74.060843,41.100906,92,11712,120,65,,,,,,,13,
Beth Medrash of Asbury Park,Beth Medrash of Asbury Park,1500 Vermont Avenue,Lakewood,-74.210816,40.043705,98,7512,32,27,,,,,,,19,
Bethany College,Bethany College,31 E Campus Dr,Bethany,-80.560056,40.205819,95,20075,1094,993,450,570,440,560,17,23,10,
Bethany College,Bethany College,335 E Swensson St,Lindsborg,-97.673670,38.580598,90,22583,1343,910,440,520,450,540,18,23,16,
Bethany Global University,Bethany Global University,6820 Auto Club Road,Bloomington,-93.371754,44.795501,97,19757,144,132,,,,,,,17,
Bethany Lutheran College,Bethany Lutheran College,700 Luther Dr,Mankato,-93.990805,44.166649,84,17546,497,387,520,580,530,610,19,25,12,
Bethany Theological Seminary,Bethany Theological Seminary,615 National Rd W,Richmond,-84.910689,39.826244,,,,,,,,,,,,
Bethel College,Bethel College,1705 Todds Ln,Hampton,-76.409526,37.041270,74,,,,,,,,,,3,
Bethel College-Indiana,Bethel College-Indiana,1001 Bethel Circle,Mishawaka,-86.194686,41.678399,88,20247,1187,1096,490,590,480,580,19,25,12,
Bethel College-North Newton,Bethel College-North Newton,300 E 27th St,North Newton,-97.343256,38.075169,92,22211,1093,482,468,563,453,585,18,24,9,
Bethel Seminary-San Diego,Bethel Seminary-San Diego,6116 Arosa St,San Diego,-117.066050,32.765387,,,,,,,,,,,,
Bethel Seminary-St Paul,Bethel Seminary-St Paul,3949 Bethel Dr,Saint Paul,-93.163180,45.060071,,,,,,,,,,,,
Bethel University,Bethel University,3900 Bethel Dr,Saint Paul,-93.161663,45.057655,89,27085,2184,1540,523,668,510,618,22,28,12,
Bethel University,Bethel University,325 Cherry Ave,McKenzie,-88.516762,36.137848,79,15018,1898,1262,400,550,420,522,16,25,17,
Bethesda University,Bethesda University,730 N. Euclid St,Anaheim,-117.941323,33.842295,61,14269,,,,,,,,,7,
Bethlehem College & Seminary,Bethlehem College & Seminary,720 13th Avenue South,Minneapolis,-93.255399,44.968872,3,,37,33,620,700,560,650,21,26,9,
Bethune-Cookman University,Bethune-Cookman University,640 Dr Mary McLeod Bethune Blvd,Daytona Beach,-81.032946,29.207195,91,15309,,,,,,,,,17,
Beulah Heights University,Beulah Heights University,892 Berne St SE,Atlanta,-84.357680,33.736993,53,13446,,,,,,,,,6,
Beverly Hills Design Institute,Beverly Hills Design Institute,8484 Wilshire Blvd Suite #730,Beverly Hills,-118.375621,34.064630,78,,9,2,,,,,,,5,
Bevill State Community College,Bevill State Community College,1411 Indiana Avenue,Jasper,-87.266406,33.836929,74,,,,,,,,,,16,
Bexley Hall Seabury Western Theological Seminary Federation  Inc.,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,1407 East 60th Street,Chicago,-87.591173,41.785693,,,,,,,,,,,,
Beyond 21st Century Beauty Academy,Beyond 21st Century Beauty Academy,13640 Imperial Hwy Ste 6-8,Santa Fe Springs,-118.041477,33.916443,53,8421,,,,,,,,,12,
Beyond Measure Barbering Institute,Beyond Measure Barbering Institute,Center Street Plaza,Mebane,-79.276539,36.098405,73,9988,,,,,,,,,16,
Beyond The Basics School of Cosmetology,Beyond The Basics School of Cosmetology,1031 Schoolview Drive  Suites A B C,Marshfield,-92.885730,37.335219,97,9363,,,,,,,,,9,
Bidwell Training Center Inc,Bidwell Training Center Inc,1815 Metropolitan St,Pittsburgh,-80.032471,40.457352,100,5301,13,9,,,,,,,10,
Big Bend Community College,Big Bend Community College,7662 Chanute St NE,Moses Lake,-119.325678,47.183651,49,,,,,,,,,,15,
Big Bend Technical College,Big Bend Technical College,3233 South Byron Butler Parkway,Perry,-83.565783,30.077954,48,,,,,,,,,,16,
