,University,Address,City,Longitude,Latitude,Percent Receiving Financial Aid,Average Net Price,Total Applied,Total Admitted,SAT Reading/Writing 25th Percentile,SAT Reading/Writing 75th Percentile,SAT Math 25th Percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,Student-to-Faculty Ratio,Acceptance Rate,Academic Cluster,Academic Profile,Venue Cluster,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,Venue Profile
0,Abilene Christian University, ,Abilene,-99.709797,32.468942999999996,97.0,27584.0,11569.0,6590.0,530.0,620.0,510.0,610.0,21.0,27.0,15.0,56.96257239173653,1,Least Selective/Lower Scores,3,Coffee Shop,Mexican Restaurant,Hotel,American Restaurant,Deli / Bodega,Grocery Store,Fast Food Restaurant,Burger Joint,Ice Cream Shop,Movie Theater,Gym / Fitness Center,Rock Club,BBQ Joint,Donut Shop,Sandwich Place,Variety of Cuisines
1,Abraham Baldwin Agricultural College,2802 Moore Hwy,Tifton,-83.528281,31.481889000000002,68.0,,2389.0,1647.0,470.0,580.0,460.0,550.0,17.0,22.0,18.0,68.94097948932608,2,Less Selective/Lowest Scores,3,Sandwich Place,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Café,Discount Store,Bakery,Grocery Store,Coffee Shop,Italian Restaurant,Tex-Mex Restaurant,Hotel,Seafood Restaurant,Pharmacy,Thai Restaurant,Variety of Cuisines
2,Adams State University,208 Edgemont Blvd,Alamosa,-105.87964199999999,37.473636,75.0,,1698.0,1675.0,440.0,550.0,430.0,530.0,17.0,22.0,12.0,98.64546525323911,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Mexican Restaurant,Pizza Place,Coffee Shop,Hotel,Department Store,Café,Mobile Phone Shop,Grocery Store,Sandwich Place,Discount Store,Construction & Landscaping,Italian Restaurant,Pharmacy,Chinese Restaurant,Fast Food
3,Adelphi University,South Ave,Garden City,-73.65332099999999,40.721439000000004,87.0,28406.0,13006.0,9648.0,540.0,630.0,540.0,640.0,22.0,27.0,12.0,74.18114716284792,0,Less Selective/Medium Scores,0,BBQ Joint,Pizza Place,Deli / Bodega,Boxing Gym,Bakery,Event Space,Sushi Restaurant,Breakfast Spot,Gym / Fitness Center,Ice Cream Shop,Bagel Shop,Bar,Basketball Court,Gym,Grocery Store,Coffee and Casual
4,Adrian College,110 S Madison St,Adrian,-84.061481,41.898590999999996,96.0,26710.0,5132.0,3326.0,470.0,580.0,470.0,576.0,19.0,26.0,14.0,64.80904130943102,1,Least Selective/Lower Scores,3,Mexican Restaurant,Ice Cream Shop,Sandwich Place,American Restaurant,Coffee Shop,Gym,Multiplex,Fast Food Restaurant,Department Store,Pizza Place,Seafood Restaurant,Bar,Park,Grocery Store,Theater,Variety of Cuisines
5,AdventHealth University,671 Winyah Drive,Orlando,-81.367687,28.576141999999997,59.0,17145.0,267.0,232.0,460.0,560.0,450.0,520.0,18.0,22.0,7.0,86.89138576779027,2,Less Selective/Lowest Scores,1,American Restaurant,Coffee Shop,Cuban Restaurant,Asian Restaurant,Theater,Vietnamese Restaurant,BBQ Joint,Park,Steakhouse,Liquor Store,Restaurant,Donut Shop,Bar,Grocery Store,Fish Market,Outdoor Attractions
6,Alabama A & M University,4900 Meridian Street,Normal,-86.568502,34.783367999999996,87.0,,9638.0,8661.0,430.0,520.0,420.0,510.0,16.0,19.0,20.0,89.86304212492219,2,Less Selective/Lowest Scores,1,Pizza Place,Brewery,American Restaurant,Cajun / Creole Restaurant,Coffee Shop,Supermarket,Mexican Restaurant,New American Restaurant,Donut Shop,Gym,Bar,Performing Arts Venue,Park,BBQ Joint,Grocery Store,Outdoor Attractions
7,Alabama State University,915 S Jackson Street,Montgomery,-86.295677,32.364317,89.0,,7783.0,7607.0,440.0,520.0,420.0,510.0,16.0,20.0,15.0,97.73866118463317,2,Less Selective/Lowest Scores,1,Pizza Place,Coffee Shop,Sandwich Place,Bar,History Museum,Deli / Bodega,American Restaurant,Grocery Store,Bakery,Mexican Restaurant,Fried Chicken Joint,Seafood Restaurant,Burger Joint,Golf Course,Park,Outdoor Attractions
8,Albany College of Pharmacy and Health Sciences,106 New Scotland Avenue,Albany,-73.779063,42.650371,96.0,29802.0,1985.0,1427.0,550.0,640.0,580.0,670.0,24.0,28.0,9.0,71.88916876574308,0,Less Selective/Medium Scores,0,Café,Pub,New American Restaurant,American Restaurant,Coffee Shop,Park,Hotel,Wine Bar,Yoga Studio,Golf Course,Sandwich Place,Beer Bar,Beer Garden,Liquor Store,Organic Grocery,Coffee and Casual
9,Albany State University,504 College Drive,Albany,-84.141825,31.56928,66.0,,4093.0,3704.0,380.0,460.0,370.0,440.0,15.0,18.0,18.0,90.49596872709505,2,Less Selective/Lowest Scores,4,Discount Store,BBQ Joint,Mexican Restaurant,American Restaurant,Pharmacy,Fried Chicken Joint,Donut Shop,Bowling Alley,Park,Sandwich Place,Theater,Bar,Gym,Theme Park Ride / Attraction,Stadium,Pizza and Dessert
10,Albertus Magnus College,700 Prospect St,New Haven,-72.92384799999999,41.332519,78.0,24652.0,1388.0,806.0,410.0,540.0,400.0,510.0,15.0,20.0,13.0,58.06916426512968,2,Less Selective/Lowest Scores,1,Pizza Place,Indian Restaurant,Sandwich Place,Deli / Bodega,Theater,American Restaurant,Bar,Cocktail Bar,Trail,French Restaurant,Chaat Place,General Entertainment,BBQ Joint,College Auditorium,Middle Eastern Restaurant,Outdoor Attractions
11,Albion College,611 E Porter St,Albion,-84.745639,42.245049,99.0,17663.0,4226.0,2884.0,510.0,630.0,500.0,610.0,20.0,26.0,11.0,68.24420255560814,1,Least Selective/Lower Scores,2,Mexican Restaurant,Sandwich Place,Fast Food Restaurant,Discount Store,Pizza Place,Gas Station,Brewery,Bus Station,Coffee Shop,Bar,Furniture / Home Store,Grocery Store,Fried Chicken Joint,Post Office,Intersection,Fast Food
12,Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,-91.142854,31.877215999999997,89.0,,4314.0,3853.0,420.0,550.0,400.0,590.0,17.0,22.0,18.0,89.3138618451553,1,Least Selective/Lower Scores,1,American Restaurant,Scenic Lookout,Coffee Shop,River,Farmers Market,Farm,Falafel Restaurant,Fair,Fabric Shop,Zoo Exhibit,Festival,Eye Doctor,Exhibit,Event Space,Event Service,Outdoor Attractions
13,Alderson Broaddus University,101 College Hill Drive,Philippi,-80.047728,39.158066999999996,98.0,19742.0,3988.0,1696.0,460.0,550.0,460.0,550.0,18.0,22.0,14.0,42.52758274824473,2,Less Selective/Lowest Scores,2,Discount Store,Fast Food Restaurant,Food & Drink Shop,Sandwich Place,Fried Chicken Joint,Airport,Business Service,Gas Station,Zoo Exhibit,Falafel Restaurant,Farmers Market,Farm,Fabric Shop,Fair,Field,Fast Food
14,Alfred University,One Saxon Drive,Alfred,-77.788106,42.254476000000004,91.0,20892.0,4296.0,2693.0,480.0,590.0,490.0,610.0,20.0,27.0,11.0,62.68621973929237,1,Least Selective/Lower Scores,4,Pizza Place,Diner,Japanese Restaurant,Chinese Restaurant,Bar,Sandwich Place,Fast Food Restaurant,Discount Store,Café,Park,Ice Cream Shop,Post Office,Flea Market,Event Service,Event Space,Pizza and Dessert
15,Alice Lloyd College,100 Purpose Rd,Pippa Passes,-82.875068,37.335087,98.0,15120.0,4720.0,1311.0,440.0,590.0,430.0,440.0,18.0,23.0,17.0,27.775423728813557,2,Less Selective/Lowest Scores,2,Post Office,Discount Store,Shopping Mall,Grocery Store,Ice Cream Shop,Sandwich Place,Business Service,Fast Food Restaurant,Fabric Shop,Farm,Falafel Restaurant,Fair,Zoo Exhibit,Eye Doctor,Exhibit,Fast Food
16,Allegheny College,520 N Main St,Meadville,-80.14716800000001,41.64869,99.0,25880.0,5479.0,3485.0,560.0,680.0,560.0,660.0,24.0,30.0,10.0,63.606497536046724,0,Less Selective/Medium Scores,4,Bar,Gas Station,Brewery,American Restaurant,Pharmacy,Fast Food Restaurant,Discount Store,Sandwich Place,Pub,Liquor Store,Lake,College Gym,Breakfast Spot,Bank,Burger Joint,Pizza and Dessert
17,Alma College,614 W Superior,Alma,-84.672053,43.38004,97.0,22830.0,4765.0,3055.0,520.0,620.0,520.0,600.0,20.0,26.0,12.0,64.11332633788038,1,Least Selective/Lower Scores,4,Pizza Place,Sandwich Place,Discount Store,American Restaurant,Coffee Shop,Fast Food Restaurant,Gas Station,Pharmacy,Dessert Shop,Department Store,Bar,Hardware Store,Farm,Mexican Restaurant,Supermarket,Pizza and Dessert
18,Alvernia University,400 Saint Bernardine St,Reading,-75.93675400000001,40.310028,84.0,26891.0,2628.0,1797.0,480.0,570.0,470.0,560.0,17.0,23.0,12.0,68.37899543378995,2,Less Selective/Lowest Scores,3,Ice Cream Shop,Brewery,Mexican Restaurant,Italian Restaurant,Sandwich Place,Farmers Market,Convenience Store,Grocery Store,Beer Store,Hotel,Coffee Shop,Latin American Restaurant,Toy / Game Store,Bar,Lingerie Store,Variety of Cuisines
19,American International College,1000 State Street,Springfield,-72.558338,42.112346,97.0,21201.0,2411.0,1649.0,460.0,560.0,460.0,540.0,16.0,22.0,16.0,68.3948569058482,2,Less Selective/Lowest Scores,0,American Restaurant,Italian Restaurant,Sandwich Place,Park,Pizza Place,Grocery Store,Bagel Shop,Bakery,Halal Restaurant,Gym / Fitness Center,Café,Gym,Liquor Store,Beer Store,Mexican Restaurant,Coffee and Casual
20,American University,4400 Massachusetts Ave NW,Washington,-77.088875,38.936005,56.0,33034.0,18984.0,5988.0,630.0,700.0,590.0,680.0,27.0,31.0,12.0,31.542351453855876,0,Less Selective/Medium Scores,0,Seafood Restaurant,Italian Restaurant,Ice Cream Shop,French Restaurant,Trail,Falafel Restaurant,Bakery,Pizza Place,Park,Mediterranean Restaurant,Grocery Store,Café,Coffee Shop,Hotel,Bookstore,Coffee and Casual
21,Amherst College,Boltwood Avenue,Amherst,-72.518493,42.372459,60.0,19275.0,9723.0,1246.0,660.0,750.0,670.0,780.0,31.0,34.0,7.0,12.814974802015838,3,Most Selective/Highest Scores,1,Coffee Shop,Grocery Store,Ice Cream Shop,Diner,Movie Theater,Breakfast Spot,Bookstore,Sandwich Place,College Cafeteria,Bakery,Liquor Store,Café,Burrito Place,College Arts Building,College Basketball Court,Outdoor Attractions
22,Ancilla College,9601 S. Union Road,Donaldson,-86.445263,41.337958,89.0,14535.0,1296.0,897.0,410.0,500.0,400.0,510.0,15.0,20.0,12.0,69.21296296296296,2,Less Selective/Lowest Scores,0,Lake,Cocktail Bar,Gas Station,Campground,Golf Course,Resort,RV Park,Construction & Landscaping,Event Space,Exhibit,Eye Doctor,Fabric Shop,Field,Fair,Falafel Restaurant,Coffee and Casual
23,Anderson University,1100 E 5th St,Anderson,-85.664315,40.112768,94.0,23787.0,3834.0,2493.0,500.0,590.0,500.0,570.0,19.0,25.0,10.0,65.02347417840375,1,Least Selective/Lower Scores,3,American Restaurant,Mexican Restaurant,Pizza Place,Grocery Store,Fast Food Restaurant,Ice Cream Shop,Sandwich Place,Convenience Store,Hot Dog Joint,Gym,Bakery,Bar,Coffee Shop,Seafood Restaurant,Breakfast Spot,Variety of Cuisines
24,Anderson University,316 Boulevard,Anderson,-82.64035799999999,34.5152,86.0,21641.0,3325.0,2071.0,540.0,640.0,418.0,635.0,20.0,26.0,15.0,62.28571428571429,0,Less Selective/Medium Scores,3,American Restaurant,Mexican Restaurant,Pizza Place,Grocery Store,Fast Food Restaurant,Ice Cream Shop,Sandwich Place,Convenience Store,Hot Dog Joint,Gym,Bakery,Bar,Coffee Shop,Seafood Restaurant,Breakfast Spot,Variety of Cuisines
25,Andrew College,501College St,Cuthbert,-84.79502099999999,31.772321,93.0,23446.0,738.0,318.0,420.0,530.0,400.0,510.0,14.0,19.0,9.0,43.08943089430895,2,Less Selective/Lowest Scores,4,Discount Store,Pharmacy,Hotel,Grocery Store,Southern / Soul Food Restaurant,Gas Station,Sandwich Place,American Restaurant,Farmers Market,Farm,Falafel Restaurant,Zoo Exhibit,Festival,Fair,Fabric Shop,Pizza and Dessert
26,Andrews University,4150 Administration Drive  Room 136,Berrien Springs,-86.355815,41.963859,78.0,21820.0,1445.0,947.0,540.0,660.0,500.0,640.0,21.0,27.0,10.0,65.5363321799308,0,Less Selective/Medium Scores,4,Intersection,Pizza Place,Park,Grocery Store,Sandwich Place,Breakfast Spot,Discount Store,Liquor Store,Restaurant,Soccer Field,Lake,Performing Arts Venue,College Cafeteria,Farmers Market,Gas Station,Pizza and Dessert
27,Angelo State University,2601 W. Avenue N,San Angelo,-100.465051,31.440914000000003,60.0,,4200.0,3076.0,460.0,560.0,460.0,550.0,17.0,23.0,20.0,73.23809523809524,2,Less Selective/Lowest Scores,3,Mexican Restaurant,Grocery Store,American Restaurant,Café,Gym,Pharmacy,Coffee Shop,Deli / Bodega,Restaurant,Pizza Place,Hotel,Food Service,Bar,Fast Food Restaurant,Taco Place,Variety of Cuisines
28,Antioch College,1 Morgan Pl,Yellow Springs,-83.888077,39.799806,99.0,19047.0,134.0,112.0,575.0,670.0,490.0,680.0,26.0,31.0,4.0,83.5820895522388,0,Less Selective/Medium Scores,1,Café,American Restaurant,Pizza Place,Nature Preserve,ATM,Brewery,State / Provincial Park,Speakeasy,Smoke Shop,Coffee Shop,Sandwich Place,Comic Shop,Deli / Bodega,Park,Discount Store,Outdoor Attractions
29,Appalachian Bible College,161 College Drive,Mount Hope,-81.198867,37.853334999999994,55.0,13705.0,126.0,57.0,480.0,595.0,430.0,535.0,18.0,23.0,9.0,45.23809523809524,2,Less Selective/Lowest Scores,3,Department Store,Clothing Store,Fast Food Restaurant,Italian Restaurant,Sandwich Place,Mexican Restaurant,Lingerie Store,Japanese Restaurant,Bakery,Gas Station,Cosmetics Shop,Pizza Place,American Restaurant,Gym / Fitness Center,Baseball Field,Variety of Cuisines
30,Appalachian State University,287 Rivers St,Boone,-81.680583,36.215536,47.0,,16154.0,11221.0,560.0,640.0,540.0,630.0,23.0,28.0,16.0,69.46267178407824,0,Less Selective/Medium Scores,1,Brewery,American Restaurant,Grocery Store,Southern / Soul Food Restaurant,Fast Food Restaurant,Bakery,Breakfast Spot,Hotel,Bookstore,Bar,Restaurant,Donut Shop,Trail,BBQ Joint,Bagel Shop,Outdoor Attractions
31,Arcadia University,450 S Easton Rd,Glenside,-75.163876,40.092605999999996,84.0,28205.0,9243.0,5930.0,540.0,640.0,510.0,610.0,21.0,27.0,12.0,64.15665909336795,1,Least Selective/Lower Scores,1,American Restaurant,Bakery,Ice Cream Shop,Bar,Grocery Store,Park,Coffee Shop,Pizza Place,Deli / Bodega,Convenience Store,Brewery,Bagel Shop,Southern / Soul Food Restaurant,Bank,Flower Shop,Outdoor Attractions
32,Arizona Christian University,2625 E Cactus Rd,Phoenix,-112.026211,33.595117,88.0,21378.0,404.0,228.0,460.0,560.0,470.0,565.0,17.0,22.0,14.0,56.43564356435643,2,Less Selective/Lowest Scores,0,Trail,Mexican Restaurant,Park,Grocery Store,Bar,Pizza Place,Massage Studio,Bakery,Lounge,Beer Bar,Coffee Shop,Thai Restaurant,Scenic Lookout,Pool,Church,Coffee and Casual
33,Arizona State University-Downtown Phoenix,411 N Central Ave,Phoenix,-112.07347,33.452914,79.0,,5763.0,4646.0,550.0,640.0,530.0,630.0,20.0,26.0,14.0,80.6177338191914,0,Less Selective/Medium Scores,1,Coffee Shop,Pizza Place,Breakfast Spot,Southern / Soul Food Restaurant,Theater,Mexican Restaurant,Pub,American Restaurant,Ice Cream Shop,Art Gallery,Grocery Store,Sandwich Place,Basketball Stadium,Beer Bar,Park,Outdoor Attractions
34,Arizona State University-Polytechnic,7001 E Williams Field Road,Mesa,-111.677225,33.307142,71.0,,2604.0,2171.0,540.0,650.0,560.0,660.0,21.0,27.0,18.0,83.37173579109063,0,Less Selective/Medium Scores,3,Pizza Place,Coffee Shop,Fast Food Restaurant,Italian Restaurant,Mexican Restaurant,Brewery,Pharmacy,Restaurant,American Restaurant,Furniture / Home Store,Dog Run,Shopping Plaza,Shopping Mall,Food Truck,Asian Restaurant,Variety of Cuisines
35,Arizona State University-Tempe,University Drive and Mill Avenue,Tempe,-111.93438300000001,33.417721,77.0,,26869.0,22779.0,570.0,670.0,560.0,690.0,22.0,29.0,19.0,84.77799694815586,0,Less Selective/Medium Scores,1,Coffee Shop,American Restaurant,Pizza Place,Bar,Brewery,Sandwich Place,Liquor Store,Mexican Restaurant,Park,Thai Restaurant,Middle Eastern Restaurant,Mediterranean Restaurant,Bistro,Fried Chicken Joint,Grocery Store,Outdoor Attractions
36,Arizona State University-West,4701 W Thunderbird Road,Glendale,-112.160021,33.60726,77.0,,2610.0,2151.0,530.0,620.0,520.0,630.0,19.0,25.0,12.0,82.41379310344827,1,Least Selective/Lower Scores,3,Fast Food Restaurant,Burger Joint,Grocery Store,Seafood Restaurant,Ice Cream Shop,Chinese Restaurant,Italian Restaurant,Breakfast Spot,Gym,Sports Bar,Mexican Restaurant,Shipping Store,Record Shop,Korean Restaurant,Frozen Yogurt Shop,Variety of Cuisines
37,Arkansas State University-Main Campus,2105 E. Aggie Road,Jonesboro,-90.679988,35.842388,74.0,,5253.0,4056.0,510.0,588.0,520.0,608.0,21.0,27.0,18.0,77.21302113078241,1,Least Selective/Lower Scores,3,Coffee Shop,American Restaurant,Steakhouse,Food Service,Fast Food Restaurant,Sandwich Place,Department Store,Italian Restaurant,Café,Ice Cream Shop,Thai Restaurant,Mexican Restaurant,Bar,Gym,Donut Shop,Variety of Cuisines
38,Art Academy of Cincinnati,1212 Jackson Street,Cincinnati,-84.513913,39.108805,100.0,29003.0,1115.0,365.0,440.0,580.0,440.0,520.0,17.0,24.0,10.0,32.73542600896861,2,Less Selective/Lowest Scores,1,Bar,Brewery,Coffee Shop,New American Restaurant,American Restaurant,Park,Italian Restaurant,Gastropub,Theater,Beer Garden,Hotel,Beer Bar,Seafood Restaurant,Performing Arts Venue,Farmers Market,Outdoor Attractions
39,Ashland University,401 College Avenue,Ashland,-82.321061,40.861755,65.0,20231.0,4656.0,3169.0,500.0,610.0,475.0,620.0,20.0,25.0,16.0,68.0627147766323,1,Least Selective/Lower Scores,4,Pizza Place,Fast Food Restaurant,Bank,Coffee Shop,Video Store,Pharmacy,Bar,Ice Cream Shop,Discount Store,Sandwich Place,Mexican Restaurant,Cheese Shop,Butcher,Truck Stop,Gym,Pizza and Dessert
40,Auburn University, ,Auburn,-85.488258,32.599378,52.0,,20742.0,15645.0,580.0,650.0,570.0,660.0,25.0,30.0,19.0,75.42667052357535,0,Less Selective/Medium Scores,3,American Restaurant,Burger Joint,Grocery Store,Pizza Place,Deli / Bodega,BBQ Joint,Sushi Restaurant,Frozen Yogurt Shop,Cocktail Bar,Sandwich Place,Mexican Restaurant,Taco Place,Sporting Goods Shop,Gastropub,Mediterranean Restaurant,Variety of Cuisines
41,Auburn University at Montgomery,7440 East Drive,Montgomery,-86.177544,32.36736,72.0,,5941.0,5514.0,510.0,570.0,480.0,570.0,19.0,23.0,17.0,92.81265780171688,1,Least Selective/Lower Scores,3,American Restaurant,Grocery Store,Pizza Place,Coffee Shop,Bakery,Deli / Bodega,Mediterranean Restaurant,Mexican Restaurant,Lingerie Store,Fast Food Restaurant,Hotel,Steakhouse,Festival,Shopping Plaza,BBQ Joint,Variety of Cuisines
42,Augsburg University,2211 Riverside Ave,Minneapolis,-93.240436,44.966307,88.0,24608.0,2020.0,1393.0,578.0,695.0,595.0,630.0,19.0,24.0,12.0,68.96039603960395,0,Less Selective/Medium Scores,0,Pizza Place,Music Venue,Park,Liquor Store,Sporting Goods Shop,Coffee Shop,Record Shop,Event Space,Football Stadium,Taco Place,Gym / Fitness Center,Eastern European Restaurant,Theater,Gift Shop,Scenic Lookout,Coffee and Casual
43,Augusta University,1120 Fifteenth St,Augusta,-81.989071,33.47037,77.0,,3054.0,2445.0,520.0,620.0,590.0,622.0,20.0,26.0,16.0,80.0589390962672,1,Least Selective/Lower Scores,0,American Restaurant,Deli / Bodega,Trail,Pizza Place,Seafood Restaurant,Bookstore,Golf Course,Japanese Restaurant,Grocery Store,Performing Arts Venue,French Restaurant,Supermarket,Fast Food Restaurant,Sandwich Place,Park,Coffee and Casual
44,Augustana University,2001 S Summit Ave,Sioux Falls,-96.736975,43.525148,96.0,23257.0,2201.0,1440.0,510.0,650.0,550.0,680.0,23.0,28.0,12.0,65.42480690595184,0,Less Selective/Medium Scores,1,Bar,New American Restaurant,Coffee Shop,Sandwich Place,Café,American Restaurant,Park,Fast Food Restaurant,Pizza Place,Brewery,Hotel,Mexican Restaurant,Latin American Restaurant,Theater,Grocery Store,Outdoor Attractions
45,Aurora University,347 S Gladstone Ave,Aurora,-88.349023,41.753631,90.0,18234.0,3296.0,2675.0,490.0,580.0,480.0,570.0,19.0,23.0,19.0,81.15898058252428,1,Least Selective/Lower Scores,3,Mexican Restaurant,Ice Cream Shop,Pizza Place,American Restaurant,Grocery Store,Liquor Store,Bar,Donut Shop,Bakery,Café,Theater,Bridal Shop,Golf Course,Tanning Salon,Coffee Shop,Variety of Cuisines
46,Austin College,900 N Grand Ave,Sherman,-96.596331,33.646345000000004,99.0,23041.0,3832.0,2120.0,570.0,670.0,560.0,660.0,22.0,27.0,13.0,55.323590814196244,0,Less Selective/Medium Scores,3,American Restaurant,Department Store,Ice Cream Shop,Hardware Store,Sporting Goods Shop,Burger Joint,Fast Food Restaurant,Video Store,Grocery Store,Thrift / Vintage Store,Coffee Shop,Sandwich Place,Park,Lingerie Store,Bar,Variety of Cuisines
47,Ave Maria University,5050 Ave Maria Blvd,Ave Maria,-81.43894499999999,26.335983000000002,97.0,18924.0,1378.0,1143.0,540.0,640.0,510.0,620.0,21.0,27.0,14.0,82.94629898403484,0,Less Selective/Medium Scores,0,Café,Gym / Fitness Center,Grocery Store,Pub,Park,Residential Building (Apartment / Condo),Farmers Market,Farm,Falafel Restaurant,Fair,Fabric Shop,Event Space,Eye Doctor,Exhibit,Festival,Coffee and Casual
48,Averett University,420 W Main St,Danville,-79.413203,36.577287,97.0,23978.0,2833.0,1717.0,440.0,490.0,450.0,490.0,16.0,22.0,12.0,60.60713025061772,2,Less Selective/Lowest Scores,3,Italian Restaurant,Mexican Restaurant,Coffee Shop,American Restaurant,Sandwich Place,Park,Brewery,Discount Store,Burger Joint,Breakfast Spot,Chinese Restaurant,Thai Restaurant,Gas Station,Food & Drink Shop,Sushi Restaurant,Variety of Cuisines
49,Avila University,11901 Wornall Rd,Kansas City,-94.591758,38.91339,80.0,18607.0,2623.0,1431.0,480.0,570.0,510.0,540.0,19.0,23.0,12.0,54.55585207777354,2,Less Selective/Lowest Scores,3,American Restaurant,Pizza Place,Convenience Store,Furniture / Home Store,Ice Cream Shop,Mexican Restaurant,Golf Course,BBQ Joint,Grocery Store,Coffee Shop,Steakhouse,Brewery,Juice Bar,Health & Beauty Service,Liquor Store,Variety of Cuisines
50,Azusa Pacific University,901 E Alosta,Azusa,-117.888375,34.130047,90.0,29152.0,9832.0,6736.0,520.0,620.0,500.0,620.0,21.0,27.0,11.0,68.51098454027664,1,Least Selective/Lower Scores,3,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Breakfast Spot,Grocery Store,Coffee Shop,BBQ Joint,Burger Joint,Juice Bar,Pizza Place,Bakery,Sandwich Place,Café,Insurance Office,Big Box Store,Variety of Cuisines
51,Babson College,231 Forest Street,Babson Park,-71.264057,42.297017,46.0,29587.0,6383.0,1558.0,620.0,690.0,650.0,760.0,28.0,32.0,14.0,24.40858530471565,3,Most Selective/Highest Scores,0,Coffee Shop,Italian Restaurant,Japanese Restaurant,Mediterranean Restaurant,Grocery Store,Sandwich Place,American Restaurant,Park,Trail,Bagel Shop,Bakery,Furniture / Home Store,Gym / Fitness Center,Donut Shop,Greek Restaurant,Coffee and Casual
52,Bacone College,2299 Old Bacone Rd,Muskogee,-95.334046,35.777082,94.0,21444.0,761.0,116.0,425.0,450.0,395.0,445.0,14.0,19.0,7.0,15.243101182654403,2,Less Selective/Lowest Scores,3,Mexican Restaurant,Gas Station,BBQ Joint,Asian Restaurant,Department Store,Diner,Museum,Fried Chicken Joint,Cosmetics Shop,Breakfast Spot,Park,Pharmacy,Automotive Shop,Hardware Store,Baseball Field,Variety of Cuisines
53,Baker University,618 Eighth Street,Baldwin City,-95.188231,38.777278,48.0,23016.0,810.0,710.0,445.0,585.0,485.0,590.0,20.0,25.0,9.0,87.65432098765432,1,Least Selective/Lower Scores,2,Fast Food Restaurant,Construction & Landscaping,Home Service,Pizza Place,Discount Store,Sandwich Place,Coffee Shop,Burger Joint,Steakhouse,Mexican Restaurant,Grocery Store,Convenience Store,Hospital,Fondue Restaurant,Dumpling Restaurant,Fast Food
54,Baldwin Wallace University,275 Eastland Rd,Berea,-81.85114499999999,41.373017,91.0,23526.0,3926.0,2915.0,520.0,640.0,510.0,610.0,21.0,27.0,11.0,74.24859908303617,1,Least Selective/Lower Scores,0,Park,Italian Restaurant,Brewery,Grocery Store,Bar,Gym / Fitness Center,Wine Bar,Coffee Shop,Mexican Restaurant,Pizza Place,Diner,Seafood Restaurant,Restaurant,Latin American Restaurant,Pet Store,Coffee and Casual
55,Barnard College,3009 Broadway,New York,-73.963346,40.810097999999996,44.0,26681.0,7897.0,1099.0,670.0,740.0,660.0,760.0,30.0,33.0,9.0,13.916677219197163,3,Most Selective/Highest Scores,0,Park,Pizza Place,Cocktail Bar,Italian Restaurant,Bagel Shop,Scenic Lookout,Coffee Shop,Supermarket,Wine Shop,Yoga Studio,Boxing Gym,Library,Gym,Lingerie Store,Grocery Store,Coffee and Casual
56,Barton College,200 E. ACC Drive,Wilson,-77.91386700000001,35.734376,98.0,22792.0,3486.0,1381.0,470.0,570.0,450.0,550.0,17.0,23.0,11.0,39.615605278255885,2,Less Selective/Lowest Scores,3,Mexican Restaurant,Fast Food Restaurant,American Restaurant,Discount Store,Breakfast Spot,Supermarket,Japanese Restaurant,Italian Restaurant,Baseball Field,Steakhouse,Sandwich Place,Paper / Office Supplies Store,Pet Store,Gym / Fitness Center,Gastropub,Variety of Cuisines
57,Baylor University, ,Waco,-97.121041,31.546871999999997,91.0,35158.0,37083.0,14442.0,600.0,680.0,590.0,690.0,26.0,31.0,14.0,38.94506916916107,0,Less Selective/Medium Scores,1,Coffee Shop,Bakery,Fast Food Restaurant,American Restaurant,Ice Cream Shop,Park,Pub,Steakhouse,BBQ Joint,Restaurant,Fried Chicken Joint,College Library,Mediterranean Restaurant,Brewery,College Gym,Outdoor Attractions
58,Becker College,61 Sever St,Worcester,-71.811894,42.269171,91.0,33266.0,3916.0,2598.0,490.0,600.0,490.0,580.0,20.0,25.0,16.0,66.34320735444331,1,Least Selective/Lower Scores,1,American Restaurant,Bar,Sandwich Place,Café,Pizza Place,Park,Breakfast Spot,Vegetarian / Vegan Restaurant,Bakery,Italian Restaurant,Restaurant,Steakhouse,BBQ Joint,Toy / Game Store,Mediterranean Restaurant,Outdoor Attractions
59,Bellarmine University,2001 Newburg Rd,Louisville,-85.70499699999999,38.219279,94.0,23607.0,5535.0,4751.0,540.0,640.0,520.0,630.0,22.0,28.0,11.0,85.83559168925022,0,Less Selective/Medium Scores,1,Coffee Shop,Park,Ice Cream Shop,Pizza Place,Latin American Restaurant,Bakery,Dive Bar,Deli / Bodega,Bar,Gay Bar,Seafood Restaurant,Brewery,Breakfast Spot,BBQ Joint,Grocery Store,Outdoor Attractions
