,University,Address,City,Longitude,Latitude,Percent Receiving Financial Aid,Average Net Price,Total Applied,Total Admitted,SAT Reading/Writing 25th Percentile,SAT Reading/Writing 75th Percentile,SAT Math 25th Percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,Student-to-Faculty Ratio,Acceptance Rate,Academic Cluster,Academic Profile,Venue Cluster,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,Venue Profile
384,Indiana University-Kokomo,2300 S Washington St,Kokomo,-86.132048,40.460062,65.0,,2499.0,1999.0,480.0,570.0,470.0,560.0,19.0,23.0,15.0,79.99199679871948,2,Less Selective/Lowest Scores,3,Mexican Restaurant,Park,Fast Food Restaurant,Ice Cream Shop,Steakhouse,Coffee Shop,Gym / Fitness Center,Greek Restaurant,American Restaurant,Bar,Pastry Shop,BBQ Joint,Toy / Game Store,Baseball Field,Thrift / Vintage Store,Variety of Cuisines
385,Indiana University-Northwest,3400 Broadway,Gary,-87.337249,41.557324,59.0,,2182.0,1737.0,460.0,560.0,450.0,540.0,18.0,23.0,14.0,79.60586617781851,2,Less Selective/Lowest Scores,4,Discount Store,Ice Cream Shop,Mexican Restaurant,Pharmacy,Pizza Place,Fried Chicken Joint,Grocery Store,Video Store,Seafood Restaurant,Diner,Sports Bar,Donut Shop,Bank,Movie Theater,Baseball Stadium,Pizza and Dessert
386,Indiana University-Purdue University-Indianapolis,420 University Blvd,Indianapolis,-86.172217,39.772948,64.0,,13339.0,10820.0,500.0,610.0,500.0,590.0,19.0,26.0,15.0,81.11552590149186,1,Least Selective/Lower Scores,1,Pizza Place,Trail,Bar,Grocery Store,Café,Mexican Restaurant,Steakhouse,Plaza,Gym,Coffee Shop,Burger Joint,Gym / Fitness Center,Park,Baseball Stadium,Zoo Exhibit,Outdoor Attractions
387,Indiana University-South Bend,1700 Mishawaka Ave,South Bend,-86.221991,41.665324,65.0,,3011.0,2466.0,470.0,570.0,460.0,560.0,17.0,23.0,13.0,81.8997010959814,2,Less Selective/Lowest Scores,0,Park,Italian Restaurant,Hotel,Bar,Sandwich Place,Deli / Bodega,Brewery,Farmers Market,Bakery,Burger Joint,Golf Course,Cajun / Creole Restaurant,Baseball Stadium,Gym / Fitness Center,Gym,Coffee and Casual
388,Indiana University-Southeast,4201 Grant Line Rd,New Albany,-85.819985,38.345191,58.0,,2794.0,2377.0,480.0,590.0,470.0,560.0,17.0,23.0,14.0,85.07516105941303,1,Least Selective/Lower Scores,3,Mexican Restaurant,Ice Cream Shop,Coffee Shop,Breakfast Spot,Brewery,Italian Restaurant,Pizza Place,Supermarket,Fast Food Restaurant,Frozen Yogurt Shop,Park,Gym,Gym / Fitness Center,Pet Store,Grocery Store,Variety of Cuisines
389,Indiana Wesleyan University-Marion,4201 South Washington Street,Marion,-85.667503,40.517936999999996,83.0,20342.0,4733.0,3232.0,510.0,620.0,500.0,600.0,21.0,26.0,13.0,68.28649904922882,1,Least Selective/Lower Scores,4,Pharmacy,Discount Store,Fast Food Restaurant,Mexican Restaurant,Department Store,Hardware Store,Breakfast Spot,Pizza Place,American Restaurant,Japanese Restaurant,Video Store,Italian Restaurant,Coffee Shop,Mobile Phone Shop,Gym / Fitness Center,Pizza and Dessert
390,Iona College,715 North Ave,New Rochelle,-73.788046,40.925725,90.0,28131.0,10062.0,8871.0,500.0,590.0,490.0,580.0,20.0,26.0,16.0,88.1633870005963,1,Least Selective/Lower Scores,1,Pizza Place,Italian Restaurant,Grocery Store,Café,Park,Southern / Soul Food Restaurant,Gym / Fitness Center,American Restaurant,Caribbean Restaurant,Dog Run,BBQ Joint,Bagel Shop,Shopping Mall,Bar,Mexican Restaurant,Outdoor Attractions
391,Iowa Wesleyan University,601 N Main Street,Mount Pleasant,-91.552459,40.973791,72.0,25016.0,3740.0,2170.0,460.0,540.0,468.0,520.0,19.0,23.0,10.0,58.02139037433155,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Gas Station,Pizza Place,Video Store,Mexican Restaurant,Park,ATM,Fried Chicken Joint,Motel,Big Box Store,Grocery Store,Gym / Fitness Center,Train Station,Sandwich Place,Discount Store,Fast Food
392,Jackson State University,1400 J R Lynch Street,Jackson,-90.20740500000001,32.296105,74.0,,7680.0,5294.0,450.0,560.0,400.0,508.0,17.0,22.0,15.0,68.93229166666667,2,Less Selective/Lowest Scores,1,Burger Joint,American Restaurant,Greek Restaurant,BBQ Joint,Mediterranean Restaurant,Sporting Goods Shop,Southern / Soul Food Restaurant,Coffee Shop,Bar,Seafood Restaurant,Thai Restaurant,Tapas Restaurant,Baseball Stadium,Football Stadium,State / Provincial Park,Outdoor Attractions
393,Jacksonville State University,700 Pelham Road North,Jacksonville,-85.765321,33.822938,67.0,,6033.0,3276.0,440.0,450.0,470.0,480.0,19.0,26.0,18.0,54.301342615614125,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Gas Station,Pizza Place,Wings Joint,BBQ Joint,Pharmacy,Discount Store,Mexican Restaurant,Sandwich Place,Breakfast Spot,Park,College Football Field,College Cafeteria,Train Station,Bank,Fast Food
